route_id,origin_hub,destination_hub,corridor,distance_km,standard_transit_days
1,Dubai,Riyadh,GCC,900,2
2,Dubai,Kuwait City,GCC,800,2
3,Dubai,Doha,GCC,600,1
4,Dubai,Muscat,GCC,400,1
5,Dubai,Manama,GCC,750,2
6,Dubai,Mumbai,South Asia,1940,3
7,Dubai,Karachi,South Asia,1500,2
8,Dubai,Colombo,South Asia,2700,4
9,Dubai,Nairobi,East Africa,3700,5
10,Dubai,Dar es Salaam,East Africa,4200,6
11,Dubai,Addis Ababa,East Africa,3300,5
12,Abu Dhabi,Riyadh,GCC,950,2
13,Sharjah,Muscat,GCC,380,1
14,Dubai,Dhaka,South Asia,4000,5
15,Dubai,Mombasa,East Africa,3900,6
